Que,Intent,I1,I2
About Weight Watchers ,Policy 2,1,0
About Work Schedule,Policy 2,1,0
About Work schedule,Policy 2,1,0
About Work timings,Policy 2,1,0
Access code to access Live and Work,Policy 2,1,0
Account creation to access myHR,Policy 2,1,0
Account Reallocation (Reallocate My Balance Transaction under Change Investments),Policy 1,0,1
Additional information about Loan Default Terminate Employment,Policy 1,0,1
After-Tax Contributions are distributed tax free ?,Policy 1,0,1
After-Tax Contributions are not eligible for Company Match contributions ?,Policy 1,0,1
After-Tax Contributions are not subject to the IRS limit on Pre-Tax Contributions ?,Policy 1,0,1
age for Required Distribution,Policy 1,0,1
Am I allowed to  elect special tax treatment on my distribution?,Policy 1,0,1
Am I allowed to  refinance the loan?,Policy 1,0,1
Am I allowed to make  partial repayments of loans?,Policy 1,0,1
Am I allowed to make  partial repayments?,Policy 1,0,1
Am I allowed to rollover contributions I have made to an IRA or Roth IRA account?,Policy 1,0,1
Am I allowed topart of my Discover Stock in-kind and still qualify for special tax treatment on the NUA?,Policy 1,0,1
Am i eligible for 401k,Policy 1,0,1
Am I eligible for special tax treatment if I roll my Discover Stock into a rollover IRA?,Policy 1,0,1
Am I eligible to apply for a loan?,Policy 1,0,1
Am I permitted part of my Discover Stock in-kind and still qualify for special tax treatment on the NUA?,Policy 1,0,1
Am I permitted to  refinance the loan?,Policy 1,0,1
Am I permitted to make  partial repayments ?,Policy 1,0,1
Am I permitted to make  partial repayments of loans ?,Policy 1,0,1
Amount Available for Withdrawal,Policy 1,0,1
Amount Available for Withdrawal,Policy 1,0,1
Amount Available for Withdrawal in Hardship Withdrawal in In-Service Withdrawals ,Policy 1,0,1
Amount Available for Withdrawalin Hardship Withdrawal ,Policy 1,0,1
Amount Available for Withdrawalin Hardship Withdrawal in 401k plan,Policy 1,0,1
Annual fixed contribution made by  Discover,Policy 1,0,1
Appendix B in the 1,Policy 1,0,1
Are employer 401k matching contributions invested prior to vesting?,Policy 1,0,1
Are Fixed Contributions subjected to vesting requirements?,Policy 1,0,1
Are Weight Watchers available at work?,Policy 2,1,0
Assignments  or Pledges,Policy 1,0,1
Assignments  or Pledges  in Other Important Information in the 1,Policy 1,0,1
Assistance in Adoption of a child,Policy 2,1,0
Assistance with Your Questions in Other Important Information in the 1,Policy 1,0,1
Auto & Homeowners Insurance coverage,Policy 2,1,0
Automatic Pre-Tax Contribution level Chart,Policy 1,0,1
Automatic Rebalance (Start Rebalancing Transaction under Change Investments),Policy 1,0,1
"Automobile, home or other property and liability insurance",Policy 2,1,0
Average clinical experience of caring registered nurses,Policy 2,1,0
Balance benefits discover,Policy 2,1,0
Basic Accidental Death and Dismemberment (AD&D) Insurance covergae,Policy 2,1,0
Basic Life Insurance Program,Policy 2,1,0
BCBS medical plan options,Policy 2,1,0
Beneficiaries,Policy 1,0,1
Beneficiaries,Policy 1,0,1
Beneficiary Designation ,Policy 1,0,1
Beneficiary Designation in Beneficiaries,Policy 1,0,1
Benefits Enrollment Categories,Policy 2,1,0
Benefits Enrollment Process,Policy 2,1,0
Blue Cross Blue Shield  medical plan options,Policy 2,1,0
Blue Cross Blue Shield (BCBS) medical plan options,Policy 2,1,0
Borrow money from your 1 account and pay  account back with interest,Policy 1,0,1
Burial and Funeral Expenses,Policy 1,0,1
Burial and Funeral Expenses in Hardship Withdrawal ,Policy 1,0,1
Burial and Funeral Expenses in Hardship Withdrawal in 401k plan,Policy 1,0,1
Burial and Funeral Expenses in Hardship Withdrawal in In-Service Withdrawals ,Policy 1,0,1
Burial and Funeral Expenses in Purchase or Construction of Principal Residence,Policy 1,0,1
By Phone myHR Service Center,Policy 1,0,1
By when should I enroll to Commuter Benefit Program,Policy 2,1,0
Calculate Your Flexible Spending Account Needs tool,Policy 2,1,0
Can a loan interest rate be changed?,Policy 1,0,1
Can Active participants working in the U.K. request a loan ?,Policy 1,0,1
"Can change elections
at any time in Benefits Enrollment Categories",Policy 2,1,0
Can I  refinance the loan?,Policy 1,0,1
Can I access myHR through  Employee Resources tab ?,Policy 2,1,0
Can I access myHR through chrome?,Policy 2,1,0
Can I access myHR through desktop?,Policy 2,1,0
Can I access myHR through myHR banner?,Policy 2,1,0
Can I apply for special tax treatment if I roll my Discover Stock into a rollover IRA?,Policy 1,0,1
Can I ask for loan reamortization?,Policy 1,0,1
Can I borrow from my 401K?,Policy 1,0,1
Can I borrow money from my 401K?,Policy 1,0,1
can i change my 401k contributions,Policy 1,0,1
Can I change my contribution rates?,Policy 1,0,1
Can I change my investments?,Policy 1,0,1
Can I get a general purpose loan?,Policy 1,0,1
Can I get a loan?,Policy 1,0,1
Can I get a primary residence loan?,Policy 1,0,1
Can I have a view about Balance Benefits Resources,Policy 2,1,0
Can I have a view about Benefits Enrollment Categories,Policy 2,1,0
Can I have a view about Benefits Enrollment Deductions in  Default Benefits: Day One,Policy 2,1,0
Can I have a view about Benefits Enrollment Process,Policy 2,1,0
Can I have a view about Benefits Resources,Policy 2,1,0
Can I have a view about Critical Benefits Enrollment Tips for myHR in  Default Benefits: Day One,Policy 2,1,0
Can I have a view about Default Benefits: Day One,Policy 2,1,0
Can I have a view about Default Coverage (if you do nothing) in  Default Benefits: Day One,Policy 2,1,0
Can I have a view about Health and Welfare Eligible Earnings (HWEE),Policy 2,1,0
Can I have a view about Health Benefits Resources,Policy 2,1,0
Can I have a view about wealth Benefits Resources,Policy 2,1,0
Can I know about HWEE,Policy 2,1,0
can I know about special distribution rules in  Required Distribution,Policy 1,0,1
Can I make a catch up contribution?,Policy 1,0,1
Can I make a partial payment towards my loan?,Policy 1,0,1
Can I make an after tax contribution?,Policy 1,0,1
"Can I pay all over the loan back at once, or do I have to follow the schedule?",Policy 1,0,1
Can I pay off my loan earlier?,Policy 1,0,1
Can I pay the balance off before loan end date?,Policy 1,0,1
Can I refinance my loan?,Policy 1,0,1
Can I repay my loan in full earler?,Policy 1,0,1
Can I request a general purpose loan?,Policy 1,0,1
Can I request a loan reamortization?,Policy 1,0,1
Can I request a primary residence loan?,Policy 1,0,1
Can I request a reamortization?,Policy 1,0,1
Can I suspend my loan payment during military service?,Policy 1,0,1
can i suspend my loan repayment,Policy 1,0,1
Can i suspend my loan repayment during my LTD?,Policy 1,0,1
Can I suspend my loan repayment?,Policy 1,0,1
Can I take a loan against my 401K plan?,Policy 1,0,1
Can I take a loan?,Policy 1,0,1
Can I take money out of my 401k account?,Policy 1,0,1
Can I take money out of my 401k plan?,Policy 1,0,1
Can I take part of my Discover Stock in-kind and still qualify for special tax treatment on the NUA?,Policy 1,0,1
Can you  the 1 is Terminated or Modified  in Other Important Information,Policy 1,0,1
Can you give me  All Appeals Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Can you give me  All claims Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Can you give me  Automatic  Payment in Distributions Under the Plan,Policy 1,0,1
Can you give me  Discretionary Authority of Plan Administrators in Appendix B,Policy 1,0,1
Can you give me  Exhaustion of Administrative Remedies in  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Can you give me  Military Leave Make-Up Contributions in Leaves of Absence,Policy 1,0,1
Can you give me  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Can you give me Agent for Service of Legal Process in Other Important Information,Policy 1,0,1
Can you give me Appendix B,Policy 1,0,1
Can you give me Assignments  or Pledges  in Other Important Information,Policy 1,0,1
Can you give me Assistance with Your Questions in Other Important Information,Policy 1,0,1
Can you give me Beneficiaries,Policy 1,0,1
Can you give me Beneficiary Designation in Beneficiaries,Policy 1,0,1
Can you give me Confirmation of Your Elections in Other Important Information,Policy 1,0,1
Can you give me Deferring Your Payment in Distributions Under the Plan,Policy 1,0,1
Can you give me Direct Rollover in Distributions Under the Plan,Policy 1,0,1
Can you give me Discretionary Authority of Plan Administrator and Other Plan Fiduciaries in Other Important Information,Policy 1,0,1
Can you give me Distributions Under the Plan,Policy 1,0,1
Can you give me Enforce Your Rights in Other Important Information,Policy 1,0,1
Can you give me Final Distribution in Distributions Under the Plan,Policy 1,0,1
Can you give me General Claims & Appeals Process in Appendix B,Policy 1,0,1
Can you give me Hardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Can you give me In General Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Can you give me insight on In-Service Withdrawals,Policy 1,0,1
Can you give me insight on Nonhardship Withdrawal in In-Service Withdrawals,Policy 1,0,1
Can you give me insight on Suspension for Withdrawing Pre-Tax Contributions in In-Service Withdrawals,Policy 1,0,1
Can you give me Leaves of Absence,Policy 1,0,1
Can you give me Legal and Compliance Department  in Other Important Information,Policy 1,0,1
Can you give me No Guarantee of  Employment  in Other Important Information,Policy 1,0,1
Can you give me Other Important Information,Policy 1,0,1
Can you give me Partial Payments in Distributions Under the Plan,Policy 1,0,1
Can you give me Participating Employers  in Other Important Information,Policy 1,0,1
Can you give me Plan Administrator  in Other Important Information,Policy 1,0,1
Can you give me Plan Confidentiality of Voting Rights on Shares in the 1,Policy 1,0,1
Can you give me Plan Documents Govern  in Other Important Information,Policy 1,0,1
Can you give me Plan Name and Number in  Other Important Information,Policy 1,0,1
Can you give me Plan Sponsor  in Other Important Information,Policy 1,0,1
Can you give me Plan Trustee,Policy 1,0,1
Can you give me Plan Year  in Other Important Information,Policy 1,0,1
Can you give me Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Can you give me Prudent Actions by Plan Fiduciaries in Other Important Information,Policy 1,0,1
Can you give me Receive Information about Your Plan and Benefits in Other Important Information,Policy 1,0,1
Can you give me Required Distribution,Policy 1,0,1
Can you give me Sponsors Employer Identification Number in Other Important Information,Policy 1,0,1
Can you give me State Withholding Taxes in Taxation of Distributions,Policy 1,0,1
Can you give me Taxation of Distributions,Policy 1,0,1
Can you give me Tender Offers Rules in Voting Rights on Shares in the 1,Policy 1,0,1
Can you give me Top-Heavy Rules  in Other Important Information,Policy 1,0,1
Can you give me Voting Rights on Shares in the 1,Policy 1,0,1
Can you give me Voting Rules in Voting Rights on Shares in the 1,Policy 1,0,1
Can you give me Your ERISA Rights in Other Important Information,Policy 1,0,1
Can you give meFederal Income Withholding Taxes in Taxation of Distributions,Policy 1,0,1
Can you give meType of Plan  in Other Important Information,Policy 1,0,1
Can you help me understand general purpose loans?,Policy 1,0,1
Can you help me understand loan processing fees?,Policy 1,0,1
Can you help me understand loan repayment?,Policy 1,0,1
Can you help me understand primary residence loans?,Policy 1,0,1
Can you tell me how much I should contribute?,Policy 1,0,1
Cash dividends you elect to receive in cash are taxable,Policy 1,0,1
Caution in 0,Policy 2,1,0
Change employee contribution rate 1,Policy 1,0,1
Claims Committee in Discretionary Authority of Plan Administrator and Other Plan Fiduciaries,Policy 1,0,1
Company Contributions may be made in cash or in shares,Policy 1,0,1
Conditions for  Tuition Reimbursement for associate courses,Policy 2,1,0
Conditions for  Tuition Reimbursement for graduate  courses,Policy 2,1,0
Conditions for  Tuition Reimbursement for undergraduate courses,Policy 2,1,0
Conditions to apply a loan,Policy 1,0,1
Conditions to be eligible for  1,Policy 1,0,1
Conditions to participate in 1,Policy 1,0,1
Conditions to take a loan,Policy 1,0,1
Conditions when I am eligible for special tax treatment on the NUA?,Policy 1,0,1
Conditions whenI am eligible for special tax treatment on the net unrealized appreciation?,Policy 1,0,1
Conditions where I will not have a severance from service,Policy 1,0,1
Confirmation of Your Elections in Other Important Information in the 1,Policy 1,0,1
Contact by phone the myHR Service Center,Policy 1,0,1
Contact by phone the myHR Service Center timings,Policy 1,0,1
Contact if questions on 1,Policy 1,0,1
Contact lenses Vision benefit,Policy 2,1,0
Contact number Live and Work,Policy 2,1,0
Contact online the myHR Service Center,Policy 1,0,1
Contact online the myHR Service Center timings ,Policy 1,0,1
Contact the myHR Service Center,Policy 1,0,1
Contribution Healthcare FSA tool,Policy 2,1,0
Coverage for attorney fees for legal matters,Policy 2,1,0
Coverage in Basic Life Insurance,Policy 2,1,0
Covered services and materials Vision Benefits,Policy 2,1,0
Decrease automatic contributions  1,Policy 1,0,1
Decrease automatic contributions/escalations,Policy 1,0,1
Decrease automatic escalations  1,Policy 1,0,1
Decrease or stop automatic contributions  ,Policy 1,0,1
Decrease or stop automatic contributions/escalations,Policy 1,0,1
Decrease or stop automatic escalations,Policy 1,0,1
Deferring Your Payment,Policy 1,0,1
Deferring Your Payment in 401k plan,Policy 1,0,1
Deferring Your Payment in Distributions Under the Plan,Policy 1,0,1
Dental plan for Discover employees,Policy 2,1,0
Dental plan for employees,Policy 2,1,0
Dental Plans levels of coverage,Policy 2,1,0
Dental Plans two levels of coverage,Policy 2,1,0
Describe  All Appeals Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Describe  All claims Procedures That Apply to Claims Filed With the Claims Committee in Appendix B,Policy 1,0,1
Describe  Automatic  Payment in Distributions Under the Plan,Policy 1,0,1
Describe  Direct Rollover in Distributions Under the Plan,Policy 1,0,1
Describe  Discretionary Authority of Plan Administrators in Appendix B,Policy 1,0,1
Describe  Exhaustion of Administrative Remedies in  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Describe  Final Distribution in Distributions Under the Plan,Policy 1,0,1
Describe  Military Leave Make-Up Contributions in Leaves of Absence,Policy 1,0,1
Describe  Partial Payments in Distributions Under the Plan,Policy 1,0,1
Describe  Procedures That Apply to Appeals Filed With the Hearing Panel in Appendix B,Policy 1,0,1
Describe Agent for Service of Legal Process  in Other Important Information,Policy 1,0,1
Describe Appendix B,Policy 1,0,1
Describe Assignments  or Pledges  in Other Important Information,Policy 1,0,1
Describe Assistance with Your Questions in Other Important Information,Policy 1,0,1
Describe Beneficiaries,Policy 1,0,1
Describe Beneficiary Designation in Beneficiaries,Policy 1,0,1
Describe Confirmation of Your Elections in Other Important Information,Policy 1,0,1
